Time,Anchor1,Anchor2,Anchor3,Anchor4
09:20:12,2.64,1.33,0.43,1.80
09:20:12,2.64,1.21,0.45,1.83
09:20:12,2.72,1.28,0.37,1.80
09:20:12,2.69,1.51,0.42,1.81
09:20:13,2.69,1.75,0.42,1.83
09:20:13,2.61,1.64,0.46,1.81
09:20:13,2.66,1.45,0.47,1.86
09:20:13,2.63,1.46,0.48,1.83
09:20:13,2.57,1.30,0.50,1.90
09:20:13,2.56,1.36,0.68,2.10
09:20:14,2.51,1.84,0.82,2.01
09:20:14,2.53,1.67,0.63,1.98
09:20:14,2.53,1.87,0.56,2.05
09:20:14,2.58,2.15,0.52,2.15
09:20:14,2.73,1.50,0.43,2.02
09:20:15,2.66,1.84,0.53,2.39
09:20:15,3.03,1.79,0.45,1.77
09:20:15,2.95,1.44,0.40,1.83
09:20:15,2.94,1.67,0.36,2.09
09:20:15,2.95,1.68,0.36,1.92
09:20:15,2.94,1.87,0.38,2.06
