Time,Anchor1,Anchor2,Anchor3,Anchor4
17:46:03,3.49,2.32,0.0,2.41
17:46:03,3.49,2.35,0.0,2.39
17:46:03,3.62,2.34,0.0,2.39
17:46:03,3.51,2.37,0.0,2.39
17:46:03,3.5,2.36,0.0,2.38
17:46:04,3.7,2.35,0.0,2.38
17:46:04,3.74,2.35,0.0,2.42
17:46:04,3.5,2.37,0.0,2.41
17:46:04,3.46,2.38,0.0,2.36
17:46:04,3.07,2.36,0.0,2.35
17:46:05,3.22,2.33,0.0,2.37
17:46:05,3.24,2.35,0.0,2.42
17:46:05,3.18,2.33,0.0,2.37
17:46:05,3.2,2.31,0.0,2.38
17:46:05,3.2,2.34,0.0,2.37
17:46:05,3.18,2.34,0.0,2.38
17:46:06,3.2,2.33,0.0,2.41
17:46:06,3.18,2.33,0.0,2.39
17:46:06,3.21,2.33,0.0,2.38
17:46:06,3.24,2.31,0.0,2.39
17:46:06,3.29,2.34,0.0,2.39
17:46:06,3.22,2.32,0.0,2.39
17:46:07,3.18,2.36,0.0,2.39
17:46:07,3.26,2.37,0.0,2.4
17:46:07,3.19,2.36,0.0,2.39
17:46:07,3.19,2.35,0.0,2.4
17:46:08,3.19,2.3,0.0,2.39
17:46:08,3.15,2.36,0.0,2.39
17:46:08,3.14,2.37,0.0,2.39
17:46:08,3.19,2.36,0.0,2.4
17:46:08,3.18,2.32,0.0,2.4
17:46:08,3.17,2.35,0.0,2.38
17:46:09,3.16,2.32,0.0,2.4
17:46:09,3.17,2.32,0.0,2.43
17:46:09,3.18,2.34,0.0,2.4
17:46:09,3.15,2.34,0.0,2.41
17:46:09,3.23,2.38,0.0,2.38
17:46:10,3.2,2.34,0.0,2.38
17:46:10,3.18,2.31,0.0,2.41
17:46:10,3.22,2.35,0.0,2.39
17:46:10,3.21,2.33,0.0,2.41
17:46:10,3.16,2.36,0.0,2.38
17:46:11,3.2,2.32,0.0,2.37
17:46:11,3.2,2.36,0.0,2.39
