Time,Anchor1,Anchor2,Anchor3,Anchor4,Est_X,Est_Y
17:36:36,1.65,1.01,1.81,2.22,1.59,0.80
17:36:36,1.66,1.04,1.83,2.21,1.59,0.80
17:36:36,1.64,1.02,1.83,2.24,1.59,0.80
17:36:36,1.69,1.01,1.86,2.25,1.59,0.80
17:36:37,1.64,1.02,1.82,2.23,1.59,0.80
17:36:37,1.66,1.02,1.85,2.24,1.59,0.80
17:36:37,1.65,1.01,1.84,2.24,1.59,0.80
17:36:37,1.67,1.06,1.85,2.23,1.59,0.80
17:36:37,1.64,1.02,1.86,2.23,1.59,0.80
17:36:37,1.67,1.01,1.83,2.25,1.59,0.80
17:36:38,1.66,1.04,1.86,2.23,1.59,0.80
17:36:38,1.67,1.01,1.82,2.24,1.59,0.80
17:36:38,1.69,1.05,1.83,2.23,1.59,0.80
17:36:38,1.67,1.03,1.82,2.21,1.59,0.81
17:36:38,1.67,1.05,1.83,2.25,1.59,0.81
17:36:38,1.63,1.03,1.84,2.22,1.59,0.80
17:36:39,1.65,1.02,1.83,2.22,1.59,0.81
17:36:39,1.67,1.02,1.81,2.24,1.59,0.81
17:36:39,1.64,1.03,1.83,2.25,1.59,0.80
17:36:39,1.67,1.04,1.86,2.26,1.59,0.80
17:36:39,1.66,1.05,1.84,2.22,1.59,0.80
17:36:40,1.65,1.04,1.83,2.24,1.59,0.80
17:36:40,1.68,1.0,1.82,2.2,1.59,0.81
17:36:40,1.66,1.04,1.83,2.25,1.59,0.80
17:36:40,1.69,1.02,1.83,2.22,1.59,0.81
17:36:40,1.65,1.0,1.83,2.23,1.59,0.81
17:36:40,1.66,1.04,1.82,2.22,1.59,0.81
17:36:41,1.64,1.04,1.84,2.25,1.59,0.80
17:36:41,1.67,1.0,1.83,2.23,1.59,0.80
17:36:41,1.65,1.05,1.82,2.21,1.59,0.81
17:36:41,1.68,1.03,1.82,2.21,1.59,0.81
17:36:41,1.64,1.02,1.88,2.22,1.59,0.81
17:36:41,1.64,1.0,1.85,2.25,1.59,0.81
17:36:42,1.67,1.02,1.83,2.21,1.59,0.81
17:36:42,1.67,1.06,1.81,2.21,1.59,0.81
17:36:42,1.66,1.04,1.8,2.21,1.59,0.81
17:36:42,1.67,1.02,1.84,2.25,1.59,0.81
17:36:43,1.65,1.02,1.84,2.21,1.59,0.81
17:36:43,1.67,1.04,1.85,2.25,1.59,0.81
17:36:43,1.65,1.02,1.83,2.24,1.59,0.81
17:36:43,1.64,1.05,1.83,2.24,1.59,0.80
17:36:43,1.7,1.03,1.86,2.23,1.59,0.81
